"MethodName","InternalCallCount","InternalFiles"
"HasFieldAuditRows","3","DBConnection.FRPT.cs"
"GetFieldAuditReportOverview","2","DBConnection.FRPT.cs; DBConnection.Notification.cs"
"GetFieldAuditPdfHeader","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfReportMeta","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfSections","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfKpiSnapshot","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfNplSnapshot","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfStaffSnapshot","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfParas","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfStatistics","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfIncomeLeakage","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditPdfOverallConclusion","1","DBConnection.FRPT.Pdf.cs"
"GetFieldAuditTeamDetails","1","DBConnection.FRPT.Pdf.cs"
"GetOverallConclusion","1","DBConnection.FRPT.Pdf.cs"
"GetOldParasObservationResponsiblePPNOsUpdatedByImp","1","DBConnection.HD.cs"
"GetOldParasForFinalSettlement","1","DBConnection.HD.cs"
"GetUploadedAuditReportsFromDirectory","1","DBConnection.HD.cs"
"DeleteAuditReportSubFolderDirectoryFromServer","1","DBConnection.HD.cs"
"SafeOracleNullableIntValue","3","DBConnection.IID.cs"
"SaveComplaintIAID","1","DBConnection.IID.cs"
"ParseSessionPpNumber","8","DBConnection.IID.cs"
"SafeOracleIntValue","10","DBConnection.IID.cs"
"LogIidSaveDebug","12","DBConnection.IID.cs"
"ParseDate","2","DBConnection.IID.cs"
"NormalizeAuditFlag","1","DBConnection.IID.cs"
"SafeOracleNullableLongValue","1","DBConnection.IID.cs"
"SaveFinalApprovalRecord","2","DBConnection.IID.cs"
"GetStringValue","66","DBConnection.IID.cs"
"GetNullableLongValue","17","DBConnection.IID.cs"
"AddIidIoCursor","37","DBConnection.IID.cs"
"GetLongValue","23","DBConnection.IID.cs"
"GetIntValue","7","DBConnection.IID.cs"
"GetDateValue","8","DBConnection.IID.cs"
"GetNullableDateValue","13","DBConnection.IID.cs"
"ExecuteIidResult","23","DBConnection.IID.cs"
"DigitsOnly","9","DBConnection.IID.cs"
"SaveIidInqProceeding","2","DBConnection.IID.cs"
"SaveIidInqStatement","2","DBConnection.IID.cs"
"GetNullableIntValue","1","DBConnection.IID.cs"
"SaveIidFindingsRecommByAccusation","1","DBConnection.IID.cs"
"GetIidInqEvidenceFilesByComplaintId","2","DBConnection.IID.cs; DBConnection.IID.Pdf.cs"
"IsOracleTrue","1","DBConnection.IID.cs"
"EqualsFilterValue","1","DBConnection.IID.cs"
"ContainsFilterValue","10","DBConnection.IID.cs"
"ApplyReportFilter","1","DBConnection.IID.cs"
"GetComplaint","2","DBConnection.IID.Pdf.cs; DBConnection.Notification.cs"
"GetIidInqAccusationsByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqAccusedListByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqProceedingsByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqStatementsByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqRecordsByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqEvidenceStepByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqViolationsByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqFindingsRecommByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidInqDsaByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetLatestInquiryReportByComplaintId","1","DBConnection.IID.Pdf.cs"
"GetIidPlanDetails","1","DBConnection.IID.Pdf.cs"
"IsIidComplaintFinalized","1","DBConnection.IID.Pdf.cs"
"LogWithLevel","3","DBConnection.LG.cs"
"ReadDateTime","1","DBConnection.LG.cs"
"ReadClob","1","DBConnection.LG.cs"
"GuardAgainstDynamicSql","5","DBConnection.Logging.cs; DBConnection.RPT.cs; DBConnection.Security.cs"
"GetManagementAuditCover","1","DBConnection.MAN.Pdf.cs"
"GetManagementReportPdfSections","1","DBConnection.MAN.Pdf.cs"
"GetManReportStaffSnapshot","1","DBConnection.MAN.Pdf.cs"
"GetManReportObservationPdfParas","1","DBConnection.MAN.Pdf.cs"
"GetManReportSettledPdfParas","1","DBConnection.MAN.Pdf.cs"
"GetManagementAuditTeamDetails","1","DBConnection.MAN.Pdf.cs"
"GetManReportObjectiveScope","1","DBConnection.MANRPT.cs"
"GetManReportExecutiveSummary","1","DBConnection.MANRPT.cs"
"ParseNullableInt","1","DBConnection.Notification.cs"
"GetAuditeeRecipientEmails","2","DBConnection.Notification.cs"
"GetTentativePlansForFields","1","DBConnection.Notification.cs"
"GetAuditTeams","1","DBConnection.Notification.cs"
"BuildEngagementLabel","1","DBConnection.Notification.cs"
"ChooseFirstNonEmpty","7","DBConnection.Notification.cs"
"GetUserEmailsByPpNumbers","1","DBConnection.Notification.cs"
"GetInspectionUnits","1","DBConnection.Notification.cs"
"GetUsersByEntityId","2","DBConnection.Notification.cs"
"BuildFinalReportLabel","1","DBConnection.Notification.cs"
"GetAuditeeEntitiesForUpdate","1","DBConnection.Notification.cs"
"DistinctEmails","3","DBConnection.Notification.cs"
"GetAllUsers","2","DBConnection.Notification.cs"
"GetObservationPrintDetails","1","DBConnection.ObservationPdf.cs"
"GetNullableLong","1","DBConnection.ObservationPdf.cs"
"GetExpectedCountOfAuditEntitiesOnCriteria","1","DBConnection.PG.cs"
"GetLatestCommentsOnEngagement","1","DBConnection.PG.cs"
"SafeGetInt32","1","DBConnection.RPT.cs"
"SafeGetString","11","DBConnection.RPT.cs"
"SafeGetDecimal","29","DBConnection.RPT.cs"
"DbValue","16","DBConnection.Security.cs"
"Truncate","11","DBConnection.Security.cs"
