"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_HD.P_GET_DUPLICATE_PARAS_FOR_AUTH","PKG_HD","P_GET_DUPLICATE_PARAS_FOR_AUTH","T_CURSOR; T_AU_DUPLICATE_PARAS; T_AUDITEE_ENTITIES","DUAL; T_AU_DUPLICATE_PARAS; T_AUDITEE_ENTITIES",""
"PKG_HD.P_AUTH_DUPLICATE_PARAS","PKG_HD","P_AUTH_DUPLICATE_PARAS","T_CURSOR; T_AU_DUPLICATE_PARAS; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE","T_AU_DUPLICATE_PARAS; DUAL","T_AU_DUPLICATE_PARAS; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE"
"PKG_HD.P_REJECT_DUPLICATE_PARAS","PKG_HD","P_REJECT_DUPLICATE_PARAS","T_CURSOR; T_AU_DUPLICATE_PARAS","DUAL","T_AU_DUPLICATE_PARAS"
"PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_HO","PKG_HD","P_GET_OBSERVATION_DETAILS_FROM_ID_HO","T_CURSOR; T_AU_OBSERVATION; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_CONTROL_VIOLATION; V_CAT_ID","DUAL; T_AU_OBSERVATION; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_CONTROL_VIOLATION_SUB; T_CONTROL_VIOLATION",""
"PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID","PKG_HD","P_GET_OBSERVATION_DETAILS_FROM_ID","T_CURSOR; T_ID; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_DSA","DUAL; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_DSA",""
"PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON","PKG_HD","P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON","T_CURSOR; T_ID; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATIONS_AUDITOR_REPLY; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION_GIST","DUAL; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATIONS_AUDITOR_REPLY; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION_GIST",""
"PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON_HO","PKG_HD","P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON_HO","T_CURSOR; V_CAT_ID; T_ID; V_CAT_NATURE_ID; T_AU_OBSERVATION; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATIONS_AUDITOR_REPLY; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION_GIST","DUAL; T_AU_OBSERVATION; T_RISK; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION; T_AU_OBSERVATIONS_AUDITOR_REPLY; T_AU_OBSERVATION_FINAL_RECCOMENDATION; T_AU_OBSERVATION_GIST",""
"PKG_HD.P_AUDIT_PARA_UPDATE_SVZ_AZ","PKG_HD","P_AUDIT_PARA_UPDATE_SVZ_AZ","T_CURSOR; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","DUAL","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT"
"PKG_HD.P_AUDIT_PARA_UPDATE_HEAD_DEPT","PKG_HD","P_AUDIT_PARA_UPDATE_HEAD_DEPT","V_ID; V_NATUREID; T_CURSOR; T_AU_OBSERVATION; V_CAT_ID; V_CAT_NATURE_ID; T_AU_OBSERVATION_TEXT","DUAL","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT"
"PKG_HD.P_UPLOAD_AUDIT_REPORT","PKG_HD","P_UPLOAD_AUDIT_REPORT","T_CURSOR; V_EXISTS; T_AUDIT_REPORTS","DUAL; T_AUDIT_REPORTS","T_AUDIT_REPORTS; OPEN"
"PKG_HD.P_GET_FINAL_AUDIT_REPORT","PKG_HD","P_GET_FINAL_AUDIT_REPORT","T_CURSOR; T_AUDIT_REPORTS; T_AU_PLAN_ENG; T_AU_PERIOD; T_AUDITEE_ENTITIES","DUAL; T_AUDIT_REPORTS; T_AU_PLAN_ENG; T_AU_PERIOD; T_AUDITEE_ENTITIES",""
"PKG_HD.P_GET_AUDIT_REPORT_CONTENT","PKG_HD","P_GET_AUDIT_REPORT_CONTENT","T_CURSOR; T_AUDIT_REPORTS","DUAL; T_AUDIT_REPORTS",""
"PKG_HD.P_GET_CHECK_AUDIT_REPORT_UPLOADED","PKG_HD","P_GET_CHECK_AUDIT_REPORT_UPLOADED","T_CURSOR; T_AUDIT_REPORTS","DUAL; T_AUDIT_REPORTS",""
"PKG_HD.P_GET_PARAS_FOR_STATUS_CHANGE","PKG_HD","P_GET_PARAS_FOR_STATUS_CHANGE","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AU_PARAS_STATUS_CHANGE_LOG","AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AU_PARAS_STATUS_CHANGE_LOG",""
"PKG_HD.P_ADD_PARAS_FOR_STATUS_CHANGE","PKG_HD","P_ADD_PARAS_FOR_STATUS_CHANGE","T_CURSOR; M_F; V_EXISTS; AIS_T_AU_POST_COMPLIANCE; T_AU_PARAS_STATUS_CHANGE_LOG","AIS_T_AU_POST_COMPLIANCE; DUAL; T_AU_PARAS_STATUS_CHANGE_LOG","T_AU_PARAS_STATUS_CHANGE_LOG"
