"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_GET_ENTITIES_RELATIONSHIP","PKG_AD","Confirmed Active","GetEntityRelations","AD","T_AUDITEE_ENT_RELATION; T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_GET_ENTITIES_MAPPING","PKG_AD","Confirmed Active","GetEntitiesMapping","AD","T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AD.P_GET_ENTITIES_MAPPING_REPORTING","PKG_AD","Confirmed Active","GetEntitiesMappingReporting","AD","T_AUDITEE_ENTITIES_MAPING_REPORTING","","T_CURSOR; T_AUDITEE_ENTITIES_MAPING_REPORTING","True"
"PKG_AD.P_GET_ENTITIES","PKG_AD","Confirmed Active","GetParentChildEntities","AD","T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AD.P_ADD_ENTITY_SHIFTING","PKG_AD","Confirmed Active","SubmitEntityShiftingFromAdminPanel","AD","T_AUDITEE_ENTITIES; DUAL; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_RISK; T_AU_ENTITY_SHIFTING; T_AU_OBSERVATION_SHIFTING; T_AU_OBSERVATION_FAD; T_AUDITEE_ENT_TYPES","T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_SIZE; T_AUDITEE_ENTITIES_RISK; T_AU_ENTITY_SHIFTING; T_AU_OBSERVATION_SHIFTING; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE","T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_SIZE; T_AUDITEE_ENTITIES_RISK; T_AU_ENTITY_SHIFTING; T_AU_OBSERVATION_SHIFTING; T_AU_OBSERVATION_FAD; T_AUDITEE_ENT_TYPES; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE","True"
"PKG_AD.P_SHIFT_BR_TO_ISLAMIC","PKG_AD","Confirmed Active","SubmitEntityConvToIslamicFromAdminPanel","AD","T_AU_PLAN_ENG; C.PARA_ADDED_ON; SYSDATE; DUAL","T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_ASSIGNEDTO; AIS_T_AU_POST_COMPLIANCE; T_AU_AUDIT_TEAM_TASKLIST","T_CURSOR; T_AU_PLAN_ENG; T_AU_OBSERVATION; T_AU_OBSERVATION_ASSIGNEDTO; AIS_T_AU_POST_COMPLIANCE; T_AU_AUDIT_TEAM_TASKLIST","True"
"PKG_AD.P_GET_ROLES_FOR_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","GetRolesForComplianceFlow","AD","T_GROUPS","","T_CURSOR; T_GROUPS","True"
"PKG_AD.P_GET_ENT_TYPES_FOR_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","GetEntityTypesForComplianceFlow","AD","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GET_ENT_TYPES_FOR_HR_DESIGNATION","PKG_AD","Confirmed Active","GetEntityTypesForHRDesignationWiseRole","AD","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_GET_COMPLIANCE_STATUSES_FOR_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","GetComplianceStatusesForComplianceFlow","AD","T_AU_OBSERVATION_STATUS","","T_CURSOR; T_AU_OBSERVATION_STATUS","True"
