"TableName","ColumnName","DataType","IsNotNull","HasDefault","RawLine"
"tbl_engagement","audit_end_on","DATE","True","False","audit_end_on           DATE           NOT NULL"
"tbl_engagement","field_start_on","DATE","False","False","field_start_on         DATE"
"tbl_engagement","field_end_on","DATE","False","False","field_end_on           DATE"
"tbl_engagement","travel_days","NUMBER","True","True","travel_days            NUMBER         DEFAULT 0 NOT NULL"
"tbl_engagement","discussion_days","NUMBER","True","True","discussion_days        NUMBER         DEFAULT 0 NOT NULL"
"tbl_engagement","engagement_status_id","NUMBER","True","False","engagement_status_id   NUMBER         NOT NULL"
"tbl_engagement","approved_by","NUMBER","False","False","approved_by            NUMBER"
"tbl_engagement","approved_on","DATE","False","False","approved_on            DATE"
"tbl_engagement","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
"tbl_engagement","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_engagement","created_on","DATE","True","True","created_on             DATE           DEFAULT SYSDATE NOT NULL"
"tbl_engagement","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_engagement","modified_on","DATE","False","False","modified_on            DATE"
