"Pattern","File","Line","Text"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_setup_observation_reversal.js","46","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_setup_observation_reversal.js","73","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_setup_observation_reversal.js","114","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_setup_observation_reversal.js","139","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_setup_observation_reversal.js","179","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","6","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","43","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","69","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","100","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","124","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_status_reversal_audit_entities.js","148","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_sub_menu_management.js","11","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_sub_menu_management.js","83","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_sub_menu_management.js","102","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_sub_menu_management.js","132","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_SystemLogs.js","28","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_SystemLogs.js","91","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_update_auditee_entities.js","8","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_update_auditee_entities.js","57","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AuditeePortal_ccqs.js","26","$.ajax({"
