page_key,page_key,view_name,controller_name,action_name,http_method,call_type,source_type,confidence_level,Api Path,
71,71,Engagement/eng_plan_ref_list.cshtml,ApiCalls,approve_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/approve_engagement_plan,
19,19,Engagement/Join.cshtml,Engagement,get_joining_details,POST,AJAX,VIEW,MEDIUM, /Engagement/get_joining_details,
19,19,Engagement/Join.cshtml,Engagement,add_joining_report,POST,AJAX,VIEW,MEDIUM, /Engagement/add_joining_report,
,MULTIPLE_OR_UNKNOWN,Engagement/change_request.cshtml,Reports,Get_Glhead_Sub_Details,POST,AJAX,VIEW,MEDIUM, /Reports/Get_Glhead_Sub_Details,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Planning,audit_periods,POST,AJAX,VIEW,MEDIUM, /Planning/audit_periods,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Planning,audit_teams,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_teams,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Planning,zone_branches,POST,AJAX,VIEW,MEDIUM, /api/planning/zone_branches,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Planning,div_departments,POST,AJAX,VIEW,MEDIUM, /api/planning/div_departments,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Planning,add_audit_plan,POST,AJAX,VIEW,MEDIUM, /api/planning/add_audit_plan,
,MULTIPLE_OR_UNKNOWN,Engagement/engagement_plan.cshtml,Setup,get_sub_entities,POST,AJAX,VIEW,MEDIUM, /Setup/get_sub_entities,
,MULTIPLE_OR_UNKNOWN,Engagement/ccqs.cshtml,Planning,audit_team,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_team,
,MULTIPLE_OR_UNKNOWN,Engagement/ccqs.cshtml,Planning,delete_audit_team,POST,AJAX,VIEW,MEDIUM, /api/planning/delete_audit_team,
,MULTIPLE_OR_UNKNOWN,Engagement/create_audit_plan.cshtml,Engagement,add_audit_criteria,POST,AJAX,VIEW,MEDIUM, /Engagement/add_audit_criteria,
,MULTIPLE_OR_UNKNOWN,Engagement/create_audit_plan.cshtml,Engagement,add_auditee_entity,POST,AJAX,VIEW,MEDIUM, /Engagement/add_auditee_entity,
73,73,Engagement/eng_plan_list.cshtml,ApiCalls,reject_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/reject_engagement_plan,
73,73,Engagement/eng_plan_list.cshtml,ApiCalls,approve_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/approve_engagement_plan,
73,73,Engagement/eng_plan_list.cshtml,ApiCalls,create_engagement_sample_data,POST,AJAX,VIEW,MEDIUM, /ApiCalls/create_engagement_sample_data,
73,73,Engagement/eng_plan_list.cshtml,ApiCalls,create_engagement_Exception_data,POST,AJAX,VIEW,MEDIUM, /ApiCalls/create_engagement_Exception_data,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis_detail.cshtml,ApiCalls,get_bac_analysis,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_bac_analysis,
